resolution,feature_set,model,params,model_label,hour,mae,rmse,n_rows
1min,full,hgb,conservative,hgb-conservative,2,302.6822,425.4271,180
1min,full,hgb,conservative,hgb-conservative,3,516.7267,854.1318,180
1min,full,hgb,conservative,hgb-conservative,4,495.9822,777.5646,180
1min,full,hgb,conservative,hgb-conservative,5,711.0722,1269.8735,180
1min,full,hgb,conservative,hgb-conservative,6,1070.3091,1615.4139,180
1min,full,hgb,conservative,hgb-conservative,7,1002.5956,1449.2301,167
1min,full,hgb,conservative,hgb-conservative,8,1206.3541,1975.6952,176
1min,full,hgb,conservative,hgb-conservative,9,1304.3633,1834.1720,180
1min,full,hgb,conservative,hgb-conservative,10,882.6730,1245.5378,176
1min,full,hgb,conservative,hgb-conservative,11,800.7533,1151.4964,177
1min,full,hgb,conservative,hgb-conservative,12,595.7418,938.0693,180
1min,full,hgb,conservative,hgb-conservative,13,651.8096,890.8575,180
1min,full,hgb,conservative,hgb-conservative,14,693.7531,1049.6206,180
1min,full,hgb,conservative,hgb-conservative,15,702.4886,1075.5476,180
1min,full,hgb,conservative,hgb-conservative,16,424.0560,621.7284,180
1min,full,hgb,conservative,hgb-conservative,17,244.3194,329.0314,180
1min,full,hgb,conservative,hgb-conservative,18,240.5450,309.5795,180
1min,full,hgb,conservative,hgb-conservative,19,300.3244,427.5468,180
1min,full,hgb,conservative,hgb-conservative,20,238.7076,305.5445,180
1min,full,hgb,conservative,hgb-conservative,21,211.5537,281.5658,180
1min,full,hgb,conservative,hgb-conservative,22,302.2777,409.2229,180
1min,full,hgb,conservative,hgb-conservative,23,257.2110,358.4639,180
1min,full,hgb,balanced,hgb-balanced,0,218.3506,305.0806,180
1min,full,hgb,balanced,hgb-balanced,1,248.1214,336.4817,180
1min,full,hgb,balanced,hgb-balanced,2,250.6473,353.4898,180
1min,full,hgb,balanced,hgb-balanced,3,487.6448,888.6919,180
1min,full,hgb,balanced,hgb-balanced,4,430.3674,688.3087,180
1min,full,hgb,balanced,hgb-balanced,5,705.5708,1289.1305,180
1min,full,hgb,balanced,hgb-balanced,6,1010.4551,1623.5165,180
1min,full,hgb,balanced,hgb-balanced,7,903.5375,1363.3775,167
1min,full,hgb,balanced,hgb-balanced,8,1237.5832,2113.2978,176
1min,full,hgb,balanced,hgb-balanced,9,1276.4419,1873.3883,180
1min,full,hgb,balanced,hgb-balanced,10,800.5196,1114.5147,176
1min,full,hgb,balanced,hgb-balanced,11,775.8107,1152.2140,177
1min,full,hgb,balanced,hgb-balanced,12,535.5839,834.4205,180
1min,full,hgb,balanced,hgb-balanced,13,562.4524,767.1247,180
1min,full,hgb,balanced,hgb-balanced,14,606.0972,894.5950,180
1min,full,hgb,balanced,hgb-balanced,15,637.3885,976.5681,180
1min,full,hgb,balanced,hgb-balanced,16,388.1671,579.0081,180
1min,full,hgb,balanced,hgb-balanced,17,201.6086,257.2179,180
1min,full,hgb,balanced,hgb-balanced,18,201.8936,260.8527,180
1min,full,hgb,balanced,hgb-balanced,19,248.9622,352.9986,180
1min,full,hgb,balanced,hgb-balanced,20,216.0667,279.8161,180
1min,full,hgb,balanced,hgb-balanced,21,179.4555,234.3915,180
1min,full,hgb,balanced,hgb-balanced,22,244.9619,340.2012,180
1min,full,hgb,balanced,hgb-balanced,23,219.0978,309.8516,180
1min,full,hgb,aggressive,hgb-aggressive,0,219.4319,309.5696,180
1min,full,hgb,aggressive,hgb-aggressive,1,254.2313,344.5729,180
1min,full,hgb,aggressive,hgb-aggressive,2,254.3743,364.7319,180
1min,full,hgb,aggressive,hgb-aggressive,3,462.9353,807.2399,180
1min,full,hgb,aggressive,hgb-aggressive,4,432.7819,690.7352,180
1min,full,hgb,aggressive,hgb-aggressive,5,667.4407,1228.5551,180
1min,full,hgb,aggressive,hgb-aggressive,6,991.7421,1616.6551,180
1min,full,hgb,aggressive,hgb-aggressive,7,918.0271,1375.0662,167
1min,full,hgb,aggressive,hgb-aggressive,8,1206.3461,2113.1434,176
1min,full,hgb,aggressive,hgb-aggressive,9,1233.3081,1828.4311,180
1min,full,hgb,aggressive,hgb-aggressive,10,812.8536,1133.3952,176
1min,full,hgb,aggressive,hgb-aggressive,11,781.3190,1158.9269,177
1min,full,hgb,aggressive,hgb-aggressive,12,529.3703,803.2496,180
1min,full,hgb,aggressive,hgb-aggressive,13,562.9595,771.7714,180
1min,full,hgb,aggressive,hgb-aggressive,14,587.7720,869.1498,180
1min,full,hgb,aggressive,hgb-aggressive,15,644.6404,975.2930,180
1min,full,hgb,aggressive,hgb-aggressive,16,387.4635,574.7732,180
1min,full,hgb,aggressive,hgb-aggressive,17,206.5082,272.2460,180
1min,full,hgb,aggressive,hgb-aggressive,18,197.1597,260.2700,180
1min,full,hgb,aggressive,hgb-aggressive,19,259.3624,356.9022,180
1min,full,hgb,aggressive,hgb-aggressive,20,209.7669,269.8289,180
1min,full,hgb,aggressive,hgb-aggressive,21,184.8642,243.0492,180
1min,full,hgb,aggressive,hgb-aggressive,22,248.7326,339.8281,180
1min,full,hgb,aggressive,hgb-aggressive,23,220.5416,311.2143,180
1min,temporal_no_workday,ridge,medium,ridge-medium,0,208.7365,279.0193,180
1min,temporal_no_workday,ridge,medium,ridge-medium,1,283.0178,374.9101,180
1min,temporal_no_workday,ridge,medium,ridge-medium,2,259.4985,414.1972,180
1min,temporal_no_workday,ridge,medium,ridge-medium,3,615.2939,1339.8374,180
1min,temporal_no_workday,ridge,medium,ridge-medium,4,645.8293,939.2289,180
1min,temporal_no_workday,ridge,medium,ridge-medium,5,879.9151,1445.3584,180
1min,temporal_no_workday,ridge,medium,ridge-medium,6,1429.0489,2143.3914,180
1min,temporal_no_workday,ridge,medium,ridge-medium,7,1229.9714,1761.6690,167
1min,temporal_no_workday,ridge,medium,ridge-medium,8,1135.4902,1798.4095,175
1min,temporal_no_workday,ridge,medium,ridge-medium,9,1452.6719,2108.9337,180
1min,temporal_no_workday,ridge,medium,ridge-medium,10,1007.8594,1545.3485,176
1min,temporal_no_workday,ridge,medium,ridge-medium,11,887.6875,1395.9882,176
1min,temporal_no_workday,ridge,medium,ridge-medium,12,781.3614,1292.3870,180
1min,temporal_no_workday,ridge,medium,ridge-medium,13,800.5183,1248.9826,180
1min,temporal_no_workday,ridge,medium,ridge-medium,14,1027.5561,1673.9344,180
1min,temporal_no_workday,ridge,medium,ridge-medium,15,878.4203,1451.7036,180
1min,temporal_no_workday,ridge,medium,ridge-medium,16,445.9858,828.4871,180
1min,temporal_no_workday,ridge,medium,ridge-medium,17,220.4756,301.9650,180
1min,temporal_no_workday,ridge,medium,ridge-medium,18,212.2208,276.4494,180
1min,temporal_no_workday,ridge,medium,ridge-medium,19,274.0436,379.6137,180
1min,temporal_no_workday,ridge,medium,ridge-medium,20,231.8586,296.4699,180
1min,temporal_no_workday,ridge,medium,ridge-medium,21,205.4242,261.4064,180
1min,temporal_no_workday,ridge,medium,ridge-medium,22,268.2028,368.1090,180
1min,temporal_no_workday,ridge,medium,ridge-medium,23,231.9468,324.7582,180
